ID,SLIKA,IME,GRAD,ADRESA,MJESTO,GEOGR. ŠIRINA,GEOGR. DUŽINA,LOKACIJA,TIP,USLUGE,ŽUPANIJA
30,(BLOB),"POŠTANSKI URED  GRANIČNI PRIJELAZ  KAŠTEL, ISTRA",KAŠTEL,GRANIČNI PRIJELAZ  KAŠTEL,,45.453598,13.649558,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
31,(BLOB),POŠTANSKI URED  OBALA 2 BR.1 VELA LUKA,VELA LUKA,OBALA 2 BR.1,,42.96418,16.716063,POŠTANSKI URED,BANKOMAT,,DUBROVAČKO-NERETVANSKA ŽUPANIJA
32,(BLOB),POSLOVNICA  TRG 4.SVIBNJA 1 MAKARSKA,MAKARSKA,TRG 4.SVIBNJA 1,,43.295261,17.017609,POSLOVNICA,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
33,(BLOB),POŠTANSKI URED  DOMOVINSKOG RATA 53 SPLIT,SPLIT,DOMOVINSKOG RATA 53,,43.519211,16.447971,POŠTANSKI URED,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
34,(BLOB),POŠTANSKI URED  VINKOVAČKA 8 SPLIT,SPLIT,VINKOVAČKA 8,,43.514488,16.45443,POŠTANSKI URED,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
35,(BLOB),FINA  KRALJA BRANIMIRA 4 KNIN,KNIN,KRALJA BRANIMIRA 4,,44.039757,16.195692,FINA,BANKOMAT,,ŠIBENSKO-KNINSKA ŽUPANIJA
36,(BLOB),FINA  KANIŠKA 4 GOSPIĆ,GOSPIĆ,KANIŠKA 4,,44.54586,15.374851,FINA,BANKOMAT,,LIČKO-SENJSKA ŽUPANIJA
37,(BLOB),FINA  FRANA GALOVIĆA KRAPINA,KRAPINA,FRANA GALOVIĆA,,46.158909,15.874043,FINA,BANKOMAT,,KRAPINSKO-ZAGORSKA ŽUPANIJA
39,(BLOB),FINA  BRDO 3 VRBOVEC,VRBOVEC,BRDO 3,,45.884663,16.415956,FINA,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
38,,FINA  OTOKARA KERŠOVANIJA 7 ČAKOVEC,ČAKOVEC,OTOKARA KERŠOVANIJA 7,,46.387943,16.438681,FINA,BANKOMAT,,MEĐIMURSKA ŽUPANIJA
40,(BLOB),POŠTANSKI URED  OBALA KRALJA ZVONIMIRA 5 SENJ,SENJ,OBALA KRALJA ZVONIMIRA 5,,44.991074,14.901162,POŠTANSKI URED,BANKOMAT,,LIČKO-SENJSKA ŽUPANIJA
41,(BLOB),PANTRGOPROMET  HRVATSKIH VELIKANA 10 ĐAKOVO,ĐAKOVO,HRVATSKIH VELIKANA 10,,45.308327,18.411585,PANTRGOPROMET,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
42,(BLOB),"POŠTANSKI URED  MEŠTROVIĆEV TRG BB  ZAGREB, ZAPRUĐE",ZAGREB,MEŠTROVIĆEV TRG BB,,45.778957,15.996115,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
