ATM PK;BRANCH FK;LOCATION FK;ORG ID;A TYPE;a type desc;A PLACE;A NAME;A STATUS;a status desc;BOBJECT NAME;WHOURS TYPE;a whours type desc;REMARK;WEB NOTE;WEB STATUS;a web status desc;LOCATION PK;COUNTY ID;COUNTY NAME;PLACE ZIP;PLACE NAME;STREET NAME;HOUSE N;HOUSE SUBN;ADDRESS LONG;address full;housenum full;X;Y;L STATUS;l status desc;;LONG;LAT
21229;;53;10037;1;Bankomat;Drvenik;Donja vala bb;1;U funkciji (radi);Ugostiteljski obrt OZ ;1;0-24 h;;;1;Prikaûi na karti;53;17;Splitsko-dalmatinska ûupanija;21333;Drvenik;Donja vala;0;BB;Donja vala bb;Drvenik, Donja vala BB;BB;2561301.53;4778270.35;1;Prikaûi na karti;;" 17∞ 14' 57""";" 43∞ 9' 17"""
21007;10007;55;47151;1;Bankomat;Dubrovnik;GunduliÊeva poljana bb;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;55;19;DubrovaËko-neretvanska ûupanija;20000;Dubrovnik;GunduliÊeva poljana;0;BB;GunduliÊeva poljana BB;Dubrovnik, GunduliÊeva poljana BB;BB;2015967.63;5257376;1;Prikaûi na karti;;" 18∞ 6' 35""";" 42∞ 38' 25"""
22003;10007;55;;2;Dnevno-noÊni trezor;Dubrovnik;GunduliÊeva poljana bb;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;55;19;DubrovaËko-neretvanska ûupanija;20000;Dubrovnik;GunduliÊeva poljana;0;BB;GunduliÊeva poljana BB;Dubrovnik, GunduliÊeva poljana BB;BB;2015967.63;5257376;1;Prikaûi na karti;;" 18∞ 6' 35""";" 42∞ 38' 25"""
21232;;57;58551;1;Bankomat;Dubrovnik;Placa 4;1;U funkciji (radi);Ljekarne Dubrovnik;1;0-24 h;;;1;Prikaûi na karti;57;19;DubrovaËko-neretvanska ûupanija;20000;Dubrovnik;Placa;4;;Placa 4;Dubrovnik, Placa 4;4;2632424.22;4722196.86;1;Prikaûi na karti;;" 18∞ 6' 37""";" 42∞ 38' 28"""
21233;;58;79651;1;Bankomat;Dubrovnik;S. RadiÊa 40 - Luka Gruû;1;U funkciji (radi);Jadrolinija;1;0-24 h;;;1;Prikaûi na karti;58;19;DubrovaËko-neretvanska ûupanija;20000;Dubrovnik;S. RadiÊa;40;;S. RadiÊa 40 - Luka Gruû;Dubrovnik, S. RadiÊa 40;40;2630475.7;4724041.6;1;Prikaûi na karti;;" 18∞ 5' 13""";" 42∞ 39' 29"""
21234;;60;41747;1;Bankomat;Duga Resa;Jozefinska c. 10;1;U funkciji (radi);Intertrgovina d.o.o.;1;0-24 h;;;1;Prikaûi na karti;60;4;KarlovaËka ûupanija;47250;Duga Resa;Jozefinska c.;10;;Jozefinska c. 10;Duga Resa, Jozefinska c. 10;10;2422186;5033433;1;Prikaûi na karti;;" 15∞ 30' 0""";" 45∞ 26' 60"""
21235;;61;82036;1;Bankomat;Dugo Selo;J. ZoriÊa 17;1;U funkciji (radi);FINA;1;0-24 h;;;1;Prikaûi na karti;61;1;ZagrebaËka ûupanija;10370;Dugo Selo;J. ZoriÊa;17;;J. ZoriÊa 17;Dugo Selo, J. ZoriÊa 17;17;2479870.68;5072507.34;1;Prikaûi na karti;;" 16∞ 14' 10""";" 45∞ 48' 20"""
21236;;62;10072;1;Bankomat;Dugo Selo;J. ZoriÊa bb ;1;U funkciji (radi);BILLA d.o.o.;1;0-24 h;;;1;Prikaûi na karti;62;1;ZagrebaËka ûupanija;10370;Dugo Selo;J. ZoriÊa;0;BB;J. ZoriÊa bb ;Dugo Selo, J. ZoriÊa BB;BB;2480401.66;5072432.58;1;Prikaûi na karti;;" 16∞ 14' 34""";" 45∞ 48' 18"""
21009;10009;63;63336;1;Bankomat;Dugo Selo;Kolodvorska 1;1;U funkciji (radi);ZABA poslovnica;1;0-24 h;;;1;Prikaûi na karti;63;1;ZagrebaËka ûupanija;10370;Dugo Selo;Kolodvorska;1;;Kolodvorska 1;Dugo Selo, Kolodvorska 1;1;2479702.2;5072439.9;1;Prikaûi na karti;;" 16∞ 14' 2""";" 45∞ 48' 18"""
21010;10009;63;85336;1;Bankomat;Dugo Selo;Kolodvorska 1;1;U funkciji (radi);ZABA poslovnica;1;0-24 h;;;1;Prikaûi na karti;63;1;ZagrebaËka ûupanija;10370;Dugo Selo;Kolodvorska;1;;Kolodvorska 1;Dugo Selo, Kolodvorska 1;1;2479702.2;5072439.9;1;Prikaûi na karti;;" 16∞ 14' 2""";" 45∞ 48' 18"""
