RBR,Adresa1,Bankomat se nalazi u poslovnici,Grad,Latituda,Longituda
42,Braće Domany 8,0,Zagreb,45.788879,15.938544
43,Dankovečka 6 - Dubrava; Pekarna Dubravica,0,Zagreb,45.83463,16.055939
44,Vukovarska 269d,1,Zagreb,45.801861,16.002536
45,Kišpatićeva 12 - KBC Rebro,0,Zagreb,45.824433,16.006501
46,Slavonska avenija 11b; City Center One-Žitnjak,0,Zagreb,45.800832,16.04167
47,Heinzelova 9,1,Zagreb,45.813434,15.999107
48,Vodnikova 13 - Hotel Garden,0,Zagreb,45.805485,15.967146
49,Horvaćanska cesta 17a - caffe bar Red Hot Chili Peppers,0,Zagreb,45.787786,15.951481
50,Ivane Brlić Mažuranić 25 - Špansko,0,Zagreb,45.806487,15.902579
51,Supermarket Konzum; J.J. Strossmayera 6,0,Zadar,44.11834,15.231696
52,Relja centar; Polačišće 2 ,0,Zadar,44.110237,15.237286
53,Hypo Centar; Zrinsko Frankopanska 40,1,Zadar,44.109505,15.23558
54,Konzum – Borik; A.G. Matoša 4,0,Zadar,44.132249,15.211709
55,Jurja Barakovića 4,1,Zadar,44.114335,15.227995
56,SC Supernova; Ulica Akcije Maslenica 1,0,Zadar,44.116554,15.285244
57,Zračna luka Zadar - Zemunik,0,Zadar,44.096955,15.353823
58,Trg kralja Petra Krešimira IV. br. 3,1,Velika Gorica,45.711858,16.078966
59,Zračna luka Pleso (Terminal domaćih odlazaka),0,Zagreb,45.729466,16.057192
60,Zagrebačka 19 - butik Web,0,Velika Gorica,45.723739,16.046133
61,Zagrebačka 61,1,Varaždin,46.297211,16.341106
62,Gundulićeva 6,1,Varaždin,46.30658,16.336775
63,Koprivnička 17 - Kaufland,0,Varaždin,46.314272,16.348858
64,Trgovačka 1b,1,Umag,45.43327,13.521984
65,Poljička cesta 39,1,Split,43.505079,16.455401
66,Robna kuća Prima Grad - Trg Gaje Bulata 5,0,Split,43.510978,16.437929
67,Hotel President; Starčevićeva 1,0,Split,43.513113,16.43777
68,Robna kuća Prima 3; Ruđera Boškovića bb,0,Split,43.507165,16.46666
69,TC Joker,0,Split,43.519793,16.445788
70,Ulica Domovinskog rata 40 - Brodarica,1,Split,43.518453,16.447719
71,Obala hrvatskog narodnog preporoda 6 - Riva,1,Split,43.507698,16.438631
72,Obala kneza Domagoja bb (Pazar),0,Split,43.504126,16.442534
73,Zvonimirova 85,0,Split,43.512579,16.521441
74,Vukovarska 97,0,Split,43.512971,16.464837
75,Vinkovačka 21,0,Split,43.512238,16.454859
76,City Center One; Vukovarska 207,0,Split,43.513732,16.499147
77,Tolstojeva 2,0,Split,43.50925,16.443357
78,Spičićeva 2,1,Split,43.506355,16.456683
79,Branimirova obala 16 - Jadroplov d.d.,0,Split,43.503912,16.428357
80,S.S. Kranjčevića 11,1,Sisak,45.484981,16.37283
81,I.K.Sakcinskog 28,0,Sisak,45.487268,16.37333
82,Hrvatskog narodnog preporoda bb.; tržnica Caprag,0,Sisak,45.45773,16.38827
83,Zagrebačka 16,1,Sesvete,45.827969,16.104455
84,Livadićeva 20,1,Samobor,45.801599,15.710801
