,,,,,,,,,,,,,,,,,,,,,,,,,
BRANCH PK,BRANCH ID2,LOCATION FK,ORG ID,B TYPE,B NAME,B STATUS,REGION NAME,PHONE,REMARK,WEB LABEL,WEB NOTE,WEB STATUS,COUNTY ID,COUNTY NAME,OLS PLACE ID,OLS PLACE NAME,PLACE ZIP,PLACE NAME,STREET NAME,HOUSE N,HOUSE SUBN,X,Y,LONG,LAT
10050,,282,14703,1,Ante Starčevića 10,1,Primorsko- goranska županija,051/ 353-925,,Građani Županije,,1,8,Primorsko-goranska županija,4388,Rijeka,51000,Rijeka,Ante Starčevića,10,,2339283.1,5021222.43," 14° 26' 40"""," 45° 19' 33"""
10052,,297,14709,1,Carera 21,1,Istarska županija,052/ 602-150,,Građani Županije,,1,18,Istarska županija,2471,Rovinj,52210,Rovinj,Carrera,21,,1517903.31,5634489.3," 13° 38' 8"""," 45° 4' 56"""
10053,10224,298,14710,1, G. Paliaga 1,1,Istarska županija,052-602-100,,Građani Županije,,1,18,Istarska županija,2471,Rovinj,52210,Rovinj,Giordano Pagliaga,1,,1518104.29,5634917.51," 13° 38' 15"""," 45° 5' 6"""
10224,10053,298,14713,2,G. Paliaga 1,1,Regija Istra,,,Pravne,,1,18,Istarska županija,2471,Rovinj,52210,Rovinj,Giordano Pagliaga,1,,1518104.29,5634917.51," 13° 38' 15"""," 45° 5' 6"""
10225,10054,314,16315,2,Šmidhenova 1,1,Regija Zapadna Hrvatska,,,Pravne,,1,1,Zagrebačka županija,5309,Samobor,10430,Samobor,Šmidhenova,1,,1748696.75,5748705," 15° 42' 32"""," 45° 48' 8"""
10054,10225,314,16312,1,Šmidhenova 1,1,Zagreb - prsten,01/ 6065-050,Dana 01.02.2013. i 12.02.2013. poslovnica će raditi skraćeno u vremenu od 08:00 do 17:00 sati,Građani Zagreb,Dana 01.02.2013. i 12.02.2013. poslovnica će raditi skraćeno u vremenu od 08:00 do 17:00 sati.,1,1,Zagrebačka županija,5309,Samobor,10430,Samobor,Šmidhenova,1,,1748696.75,5748705," 15° 42' 32"""," 45° 48' 8"""
10055,,321,16412,1,Trg D. Domjanića 6,1,Zagreb - prsten,01/ 6136-375,,Građani Zagreb,,1,21,Grad Zagreb,5391,Sesvete,10360,Sesvete,Trg D. Domjanića,6,,1793327.13,5752642.5," 16° 6' 35"""," 45° 49' 37"""
10226,,322,16416,2,Trg L. Matačića 11,1,Regija Grad Zagreb Istok,,,Pravne,,1,21,Grad Zagreb,5391,Sesvete,10360,Sesvete,Trg Lovre Matačića,11,,2469974.34,5075417," 16° 6' 31"""," 45° 49' 53"""
10056,10266,327,15511,1,Trg F. Tuđmana bb,1,Splitsko- dalmatinska županija,021/350-550,,Građani Županije,,1,17,Splitsko-dalmatinska županija,5418,Sinj,21230,Sinj,Trg Franje Tuđmana,0,BB,1852177.49,5419389.49," 16° 38' 18"""," 43° 42' 6"""
10266,10056,327,15515,2,Trg Dr. Franje Tuđmana bb,1,,,,,,1,17,Splitsko-dalmatinska županija,5418,Sinj,21230,Sinj,Trg Franje Tuđmana,0,BB,1852177.49,5419389.49," 16° 38' 18"""," 43° 42' 6"""
10057,10227,330,16115,1,Frane Krste Frankopana 10,1,Sisačko- moslavačka županija,044/ 526-120,,Građani Županije,,1,3,Sisačko-moslavačka županija,5422,Sisak,44000,Sisak,Frane Krste Frankopana,10,,1822633.5,5699174.5," 16° 22' 23"""," 45° 29' 28"""
10227,10057,330,16117,2,Frane Krste Frankopana 10,1,Regija Gard Zagreb Jug,,,Pravne,,1,3,Sisačko-moslavačka županija,5422,Sisak,44000,Sisak,Frane Krste Frankopana,10,,1822633.5,5699174.5," 16° 22' 23"""," 45° 29' 28"""
10059,,339,14912,1,Ulica kralja Zvonimira 6a,1,Virovitičko- podravska županija,033/ 841-851,,Građani Županije,,1,10,Virovitičko-podravska županija,4450,Slatina,33520,Slatina,Ulica kralja Zvonimira,6,A,1970976.75,5732442.5," 17° 42' 20"""," 45° 42' 1"""
10061,,343,14913,1,"Korzo,Trg I. B. Mažuranić 1",1,Brodsko- posavska županija,035/435-629,,Građani Županije,,1,12,Brodsko-posavska županija,4460,Slavonski Brod,35000,Slavonski Brod,Trg I. B. Mažuranić,1,,2005135.38,5645969," 18° 0' 45"""," 45° 9' 18"""
10060,10228,347,14923,1,Stjepana pl. Horvata 23,1,Brodsko- posavska županija,035/ 435-600,,Građani Županije,,1,12,Brodsko-posavska županija,4460,Slavonski Brod,35000,Slavonski Brod,Stjepana pl. Horvata,23,,2619916.9,5001318.1," 18° 1' 14"""," 45° 9' 18"""
10228,10060,347,14919,2,Stjepana pl. Horvata 23,1,Regija Slavonija,,,Pravne,,1,12,Brodsko-posavska županija,4460,Slavonski Brod,35000,Slavonski Brod,Stjepana pl. Horvata,23,,2619916.9,5001318.1," 18° 1' 14"""," 45° 9' 18"""
10229,10064,353,15513,2,"Dobri, Ivana Gundulića 26/A",1,Regija Središnja i sjeverna Dalmacija,,,Pravne,,1,17,Splitsko-dalmatinska županija,5477,Split,21000,Split,Ivana Gundulića,26,A,2495473.19,4817888.73," 16° 26' 21"""," 43° 30' 50"""
10064,10229,353,15507,1,"Dobri, Ivana Gundulića 26/A",1,Splitsko- dalmatinska županija,021/ 352-222,,Građani Županije,,1,17,Splitsko-dalmatinska županija,5477,Split,21000,Split,Ivana Gundulića,26,A,2495473.19,4817888.73," 16° 26' 21"""," 43° 30' 50"""
10063,,354,15510,1,"Bol, Domovinskog rata 30",1,Splitsko- dalmatinska županija,021/ 350-400, 021/ 485-495,Građani Županije,,1,17,Splitsko-dalmatinska županija,5477,Split,21000,Split,Domovinskog rata,30,,1830617.51,5390816.45," 16° 26' 41"""," 43° 30' 57"""
