Oznaka bankomata;Adresa;Poštanski broj;Mjesto;Županija;Lokacija bankomata;Zemljopisna širina;Zemljopisna dužina;Uplatni modul
ATM460;KRALJA ZVONIMIRA 18;21300;MAKARSKA;SPLITSKO-DALMATINSKA;TOMMY D.O.O.;43.297134;17.016527;FALSE
ATM461;HRVATSKIH BRANITELJA B.B.;21238;OTOK (DALMATINSKI);SPLITSKO-DALMATINSKA;TOMMY;43.687592;16.733788;FALSE
ATM462;S.S. KRANJÈEVIÆEVA 4;53291;NOVALJA;PRIMORSKO-GORANSKA;PLODINE;44.552551;14.885981;FALSE
ATM463;MARMONTOVA 2;21000;SPLIT;SPLITSKO-DALMATINSKA;MARMONTOVA;43.508865;16.436806;FALSE
ATM464;SAMOBORSKA CESTA 102;10000;ZAGREB;GRAD ZAGREB;SUPER KONZUM;45.81229;15.883312;FALSE
ATM465;VLADIMIRA NAZORA 4;35221;VELIKA KOPANICA;BRODSKO-POSAVSKA;DVD;45.156639;18.395861;FALSE
ATM466;DR. ANTE STARÈEVIÆA  24;20000;DUBROVNIK;DUBROVAÈKO-NERETVANSKA;POSLOVNICA;42.652035;18.089054;TRUE
ATM467;DR. ANTE STARÈEVIÆA  24;20000;DUBROVNIK;DUBROVAÈKO-NERETVANSKA;POSLOVNICA;42.652252;18.089001;FALSE
ATM468;CEHOVSKA 8;34000;POŽEGA;POŽEŠKO-SLAVONSKA;POSLOVNICA;45.33186;17.676704;FALSE
ATM471;BJELOVARSKA 48 B;10360;ZAGREB;GRAD ZAGREB;KONZUM;45.824005;16.117748;FALSE
ATM472;BRNAZE 176A;21230;SINJ;SPLITSKO-DALMATINSKA;ROBOT COMMERCE;43.690216;16.646788;FALSE
ATM469;ULICA GRADA VUKOVARA 275;10000;ZAGREB;GRAD ZAGREB;KONZUM;45.803594;16.014229;FALSE
ATM470;ANDRIJE KAÈIÆA MIOŠIÆA 64;10410;VELIKA GORICA;ZAGREBAÈKA;KONZUM;45.710516;16.059888;FALSE
ATM475;GLAVNA 10;31309;KNEŽEVI VINOGRADI;OSJEÈKO-BARANJSKA;POŠTANSKI URED;45.742862;18.725995;FALSE
